,key,start,finish,called_from,time
24391,"('getitem-a66d8812da6822d955068d60a2a1f9ff', 0, 0, 0)",ready,executing,tcp://10.201.3.17:33095,1713455798.6806586
24392,"('getitem-74fe24de07f2af5ba1faefa94d71c262', 0, 0, 0)",released,waiting,tcp://10.201.3.17:45521,1713455798.6809595
24393,"('getitem-1dc7bf2317f80dcf263ae4e27dacb12d', 0, 0, 0)",executing,memory,tcp://10.201.3.17:42345,1713455798.6828067
24394,"('getitem-bc7efe55d3e02b3b7eb4d9178b0edf89', 0, 0, 0)",executing,memory,tcp://10.201.3.17:42345,1713455798.6864016
24395,"('getitem-74fe24de07f2af5ba1faefa94d71c262', 0, 0, 0)",waiting,ready,tcp://10.201.3.17:45521,1713455798.6864214
24396,"('_map_read_frame-c50155175b03e4c1ec9664317841e345', 96, 0, 0, 0)",memory,released,tcp://10.201.3.17:33095,1713455798.6865413
24397,"('getitem-7cbdc9941dd76d84b8fa40502604891f', 0, 0, 0)",released,waiting,tcp://10.201.3.17:33095,1713455798.6920612
24398,"('getitem-74fe24de07f2af5ba1faefa94d71c262', 0, 0, 0)",ready,executing,tcp://10.201.3.17:45521,1713455798.6920302
24399,"('getitem-4b7fe5e40ec343e59323b68b6f6da36d', 0, 0, 0)",executing,memory,tcp://10.201.3.17:42345,1713455798.6921003
24400,"('getitem-7cbdc9941dd76d84b8fa40502604891f', 0, 0, 0)",waiting,ready,tcp://10.201.3.17:33095,1713455798.6975799
24401,"('_map_read_frame-c50155175b03e4c1ec9664317841e345', 3, 0, 0, 0)",memory,released,tcp://10.201.3.17:45521,1713455798.6981802
24402,"('getitem-3ee849b615dc975ab139fe9cb7a03e7e', 0, 0, 0)",released,waiting,tcp://10.201.3.17:45521,1713455798.7031727
24403,"('getitem-9a32a5a8b5dffc14fb66144668cffcce', 0, 0, 0)",executing,memory,tcp://10.201.3.17:33095,1713455798.7076774
24404,"('getitem-7cbdc9941dd76d84b8fa40502604891f', 0, 0, 0)",ready,executing,tcp://10.201.3.17:33095,1713455798.7079103
24405,"('getitem-3ee849b615dc975ab139fe9cb7a03e7e', 0, 0, 0)",waiting,ready,tcp://10.201.3.17:45521,1713455798.7079828
24406,"('getitem-3ee849b615dc975ab139fe9cb7a03e7e', 0, 0, 0)",ready,executing,tcp://10.201.3.17:45521,1713455798.7128026
24407,"('getitem-dec3b871dbbe0531c8ef77d79944577f', 0, 0, 0)",executing,memory,tcp://10.201.3.17:33095,1713455798.7129796
24408,"('getitem-34a9885dfd996fd0cde9cbcc9243356d', 0, 0, 0)",executing,memory,tcp://10.201.3.17:33095,1713455798.7176435
24409,"('_map_read_frame-c50155175b03e4c1ec9664317841e345', 113, 0, 0, 0)",memory,released,tcp://10.201.3.17:45521,1713455798.7178614
24410,"('getitem-7cb890227280aa9296975cd9b6de0c3c', 0, 0, 0)",released,waiting,tcp://10.201.3.17:45521,1713455798.7224872
24411,"('getitem-01aa0f3295ffad32daa73fd51db74f1b', 0, 0, 0)",executing,memory,tcp://10.201.3.17:33095,1713455798.7224994
24412,"('getitem-7cb890227280aa9296975cd9b6de0c3c', 0, 0, 0)",waiting,ready,tcp://10.201.3.17:45521,1713455798.7271278
24413,"('getitem-1c35ea448529095c6cd33b2da8dd8e5a', 0, 0, 0)",executing,memory,tcp://10.201.3.17:33095,1713455798.7272527
24414,"('getitem-7cb890227280aa9296975cd9b6de0c3c', 0, 0, 0)",ready,executing,tcp://10.201.3.17:45521,1713455798.7318468
24415,"('getitem-cfeb79c1f7764190b1c12ac0d7a95fde', 0, 0, 0)",executing,memory,tcp://10.201.3.17:33095,1713455798.732016
24416,"('_map_read_frame-c50155175b03e4c1ec9664317841e345', 123, 0, 0, 0)",memory,released,tcp://10.201.3.17:45521,1713455798.7372541
24417,"('getitem-e9b543c1702f2e410f2250b9482f58ff', 0, 0, 0)",executing,memory,tcp://10.201.3.17:33095,1713455798.7373514
24418,"('getitem-a66d8812da6822d955068d60a2a1f9ff', 0, 0, 0)",executing,memory,tcp://10.201.3.17:33095,1713455798.7417622
24419,"('getitem-585f3d363877d5549f5fdabf13efce54', 0, 0, 0)",released,waiting,tcp://10.201.3.17:45521,1713455798.7417748
24420,"('getitem-585f3d363877d5549f5fdabf13efce54', 0, 0, 0)",waiting,ready,tcp://10.201.3.17:45521,1713455798.7464926
24421,"('getitem-7cbdc9941dd76d84b8fa40502604891f', 0, 0, 0)",executing,memory,tcp://10.201.3.17:33095,1713455798.7478657
24422,"('getitem-585f3d363877d5549f5fdabf13efce54', 0, 0, 0)",ready,executing,tcp://10.201.3.17:45521,1713455798.751782
24423,"('getitem-74fe24de07f2af5ba1faefa94d71c262', 0, 0, 0)",executing,memory,tcp://10.201.3.17:45521,1713455798.7589111
24424,"('getitem-3ee849b615dc975ab139fe9cb7a03e7e', 0, 0, 0)",executing,memory,tcp://10.201.3.17:45521,1713455798.761551
24425,"('getitem-7cb890227280aa9296975cd9b6de0c3c', 0, 0, 0)",executing,memory,tcp://10.201.3.17:45521,1713455798.7656727
24426,"('getitem-585f3d363877d5549f5fdabf13efce54', 0, 0, 0)",executing,memory,tcp://10.201.3.17:45521,1713455798.7698615
24427,"('_map_read_frame-c50155175b03e4c1ec9664317841e345', 71, 0, 0, 0)",memory,released,tcp://10.201.3.17:42345,1713455798.8502746
24428,"('getitem-3a92f14f5ed122c15cf3803140fa8161', 0, 0, 0)",released,waiting,tcp://10.201.3.17:42345,1713455798.851697
24429,"('getitem-3a92f14f5ed122c15cf3803140fa8161', 0, 0, 0)",waiting,ready,tcp://10.201.3.17:42345,1713455798.8551989
24430,"('getitem-3a92f14f5ed122c15cf3803140fa8161', 0, 0, 0)",ready,executing,tcp://10.201.3.17:42345,1713455798.8590138
24431,"('_map_read_frame-c50155175b03e4c1ec9664317841e345', 25, 0, 0, 0)",memory,released,tcp://10.201.3.17:42345,1713455798.8630466
24432,"('getitem-9a510e82f6bcd96142c58cc7b0c5692d', 0, 0, 0)",released,waiting,tcp://10.201.3.17:42345,1713455798.866758
24433,"('getitem-9a510e82f6bcd96142c58cc7b0c5692d', 0, 0, 0)",waiting,ready,tcp://10.201.3.17:42345,1713455798.870445
24434,"('getitem-9a510e82f6bcd96142c58cc7b0c5692d', 0, 0, 0)",ready,executing,tcp://10.201.3.17:42345,1713455798.8742635
